character,dialogue
RUTH,"instant, we could have gone through the terminal instead of running along"
RUTH,the dock like some squalid immigrant family.
CAL,"All part of my charm, Ruth. At any rate, it was my darling fiancee's beauty"
CAL,rituals which made us late.
ROSE,You told me to change.
CAL,"I couldn't let you wear black on sailing day, sweetpea. It's bad luck."
ROSE,I felt like black.
ROSE,Cal guides them out of the path of a horse-drawn wagon loaded down with two
ROSE,"tons of OXFORD MARMALADE, in wooden cases, for Titanic's Victualling"
ROSE,Department.
CAL,Here I've pulled every string I could to book us on the grandest ship in
CAL,"history, in her most luxurious suites... and you act as if you're going to"
CAL,your execution.
CAL,"Rose looks up as the hull of Titanic looms over them...a great iron wall,"
CAL,"Bible black and sever. Cal motions her forward, and she enters the gangway"
CAL,to the D Deck doors with a sense of overwhelming dread.
OLD ROSE (V.O.),"It was the ship of dreams... to everyone else. To me it was a slave ship,"
OLD ROSE (V.O.),taking me back to America in chains.
OLD ROSE (V.O.),CLOSE ON CAL'S HAND IN SLOW-MOTION as it closes possessively over Rose's
OLD ROSE (V.O.),arm. He escorts her up the gangway and the black hull of Titanic swallows
OLD ROSE (V.O.),"Outwardly I was everything a well brought up girl should be. Inside, I was"
OLD ROSE (V.O.),screaming.
OLD ROSE (V.O.),"funnels, bellowing their departure warning."
OLD ROSE (V.O.),"A VIEW OF TITANIC from several blocks away, towering above the terminal"
OLD ROSE (V.O.),buildings like the skyline of a city. The steamer's whistle echoes across
OLD ROSE (V.O.),Southampton.
OLD ROSE (V.O.),"PULL BACK, revealing that we were looking through a window, and back"
OLD ROSE (V.O.),further to show the smoky inside of a pub. It is crowded with dockworkers
OLD ROSE (V.O.),and ship;s crew.
OLD ROSE (V.O.),"Just inside the window, a poker game is in progress. FOUR MEN, in working"
OLD ROSE (V.O.),"class clothes, play a very serious hand."
OLD ROSE (V.O.),"JACK DAWSON and FABRIZIO DE ROSSI, both about 20, exchange a glance as the"
OLD ROSE (V.O.),"other two players argue in Swedish. Jack is American, a lanky drifter with"
OLD ROSE (V.O.),"his hair a little long for the standards of the times. He is also unshaven,"
OLD ROSE (V.O.),"and his clothes are rumpled from sleeping in them. He is an artist, and has"
OLD ROSE (V.O.),"self-possessed and sure-footed for 20, having lived on his own since 15."
OLD ROSE (V.O.),"The TWO SWEDES continue their sullen argument, in Swedish."
OLAF,You stupid fishhead. I can't believe you bet our tickets.
SVEN,You lost our money. I'm just trying to get it back. Now shutup and take a
JACK,"Hit me again, Sven."
JACK,Jack takes the card and slips it into his hand.
JACK,ECU JACK'S EYES. They betray nothing.
JACK,CLOSE ON FABRIZIO licking his lips nervously as he refuses a card.
JACK,ECU STACK in the middle of the table. Bills and coins from four counrties.
JACK,This has been going on for a while. Sitting on top of the money are two 3RD
JACK,CLASS TICKETS for RMS TITANIC.
JACK,The Titanic's whistle blows again. Final warning.
JACK,The moment of truth boys. Somebody's life's about to change.
JACK,Fabrizio puts his cards down. So do the Swedes. Jack holds his close.
JACK,"Let's see... Fabrizio's got niente. Olaf, you've got squat. Sven, uh oh..."
JACK,two pair... mmm.
JACK,Sorry Fabrizio.
FABRIZIO,What sorry? What you got? You lose my money?? Ma va fa'n culo testa di
FABRIZIO,cazzo--
JACK,"Sorry, you're not gonna see your mama again for a long time..."
JACK,He slaps a full house down on the table.
JACK,'Cause you're goin' to America!! Full house boys!
FABRIZIO,Porca Madonna!! YEEAAAAA!!!
FABRIZIO,The table explodes into shouting in several languages. Jack rakes in the
FABRIZIO,money and the tickets.
JACK,Sorry boys. Three of a kind and a pair. I'm high and you're dry and...
JACK,... we're going to--
L'AMERICA!!!,"Olaf balls up one huge farmer's fist. We think he's going to clobber Jack,"
L'AMERICA!!!,"but he swings round and punches Sven, who flops backward onto the floor and"
L'AMERICA!!!,"sits there, looking depressed. Olaf forgets about Jack and Fabrizio, who"
L'AMERICA!!!,"are dancing around, and goes into a rapid harangue of his stupid cousin."
L'AMERICA!!!,"Jack kisses the tickets, then jumps on Fabrizio's back and rides him around"
L'AMERICA!!!,the pub. It's like they won the lottery.
JACK,Goin' home... to the land o' the free and the home of the real hot-dogs! On
JACK,the TITANIC!! We're ridin' in high style now! We're practically goddamned
JACK,"royalty, ragazzo mio!!"
FABRIZIO,You see? Is my destinio!! Like I told you. I go to l'America!! To be a
FABRIZIO,millionaire!!
FABRIZIO (CONT'D),Capito?? I go to America!!
PUBKEEPER,"No, mate. Titanic go to America. In five minutes."
JACK,"Shit!! Come on, Fabri!"
JACK,Come on!!
JACK,It's been grand.
JACK,They run for the door.
PUBKEEPER,"'Course I'm sure if they knew it was you lot comin', they'd be pleased to"
PUBKEEPER,"Jack and Fabrizio, carrying everything they own in the world in the kit"
PUBKEEPER,"bags on their shoulders, sprint toward the pier. They tear through milling"
PUBKEEPER,crowds next to the terminal. Shouts go up behind them as they jostle
PUBKEEPER,"slow-moving gentlemen. They dodge piles of luggage, and weave through"
PUBKEEPER,groups of people. They burst out onto the pier and Jack comes to a dead
PUBKEEPER,"stop... staring at the cast wall of the ship's hull, towering seven stories"
PUBKEEPER,above the wharf and over an eighth of a mile long. The Titanic is
PUBKEEPER,monstrous.
PUBKEEPER,"Fabrizio runs back and grabs Jack, and they sprint toward the third class"
PUBKEEPER,"gangway aft, at E deck. They reach the bottom of the ramp just as SIXTH"
PUBKEEPER,OFFICER MOODY detaches it at the top. It starts to swing down from the
PUBKEEPER,gangway doors.
JACK,Wait!! We're passengers!
JACK,"Flushed and panting, he waves the tickets."
MOODY,Have you been through the inspection queue?
JACK,"Of course! Anyway, we don't have lice, we're Americans."
JACK,Both of us.
MOODY,"Right, come aboard."
MOODY,Moody has QUARTERMASTER ROWE reattach the gangway. Jack and Fabrizio come
MOODY,"aboard. Moody glances at the tickets, then passes Jack and Fabrizio through"
MOODY,to Rowe. Rowe looks at the names on the tickets to enter them in the
MOODY,passenger list.
ROWE,Gundersen. And...
ROWE,Gundersen.
ROWE,"He hands the tickets back, eyeing Fabrizio's Mediterranean looks"
ROWE,suspiciously.
JACK,"Come on, Sven."
JACK,Jack and Fabrizio whoop with victory as they run down the white-painted
JACK,corridero... grinning from ear to ear.
JACK,We are the luckiest sons of bitches in the world!
JACK,"The mooring lines, as big around as a man's arm, are dropped into the"
JACK,water. A cheer goes up on the pier as SEVEN TUGS pull the Titanic away from
JACK,the quay.
JACK,JACK AND FABRIZIO burst through a door onto the aft well deck. TRACKING
JACK,WITH THEM as they run across the deck and up the steel stairs to the poop
JACK,deck. They get to the rail and Jack starts to yell and wave to the crowd on
JACK,the dock.
FABRIZIO,You know somebody?
JACK,Goodbye! Goodbye!! I'll miss you!
JACK,"Grinning, Fabrixio joins in, adding his voice to the swell of voices,"
JACK,feeling the exhilaration of the moment.
FABRIZIO,Goodbye! I will never forget you!!
FABRIZIO,The crowd of cheering well-wishers waves heartily as a black wall of metal
FABRIZIO,moves past them. Impossibly tiny figues wave back from the ship's rails.
FABRIZIO,Titanic gathers speed.
FABRIZIO,"IN A LONG LENS SHOT the prow of Titanic FILLS FRAME behind the lead tug,"
FABRIZIO,which is dwarfed. The bow wave spreads before the mighty plow of the
FABRIZIO,liner's hull as it moves down the River Test toward the English Channel.
FABRIZIO,Jack and Fabrizio walk down a narrow corridor with doors lining both sides
FABRIZIO,like a college dorm. Total confusion as people argue over luggage in
FABRIZIO,"several languages, or wander in confusion in the labyrinth. They pass"
FABRIZIO,"emigrants studying the signs over the doors, and looking up the words in"
FABRIZIO,phrase books.
FABRIZIO,"They find their berth. It is a modest cubicle, painted enamel white, with"
FABRIZIO,four bunks. Exposed pipes overhead. The other two guys are already there.
FABRIZIO,OLAUS and BJORN GUNDERSEN.
FABRIZIO,"Jack throws his kit on one open bunk, while Fabrizio takes the other."
BJORN,Where is Sven?
BJORN,"By contrast, the so-called ""Millionaire Suite"" is in the Empire style, and"
BJORN,"comprises two bedrooms, a bath, WC, wardrobe room, and a large sitting"
BJORN,room. In addition there is a private 50 foot promenade deck outside.
BJORN,A room service waiter pours champagne into a tulip glass of orange juice
BJORN,and hands the Bucks Fizz to Rose. She is looking through her new paintings.
BJORN,"There is a Monet of water lilies, a Degas of dancers, and a few abstract"
BJORN,works. They are all unknown paintings... lost works.
BJORN,"Cal is out on the covered deck, which has potted trees and vines on"
BJORN,"trellises, talking through the doorway to Rose in the sitting room."
CAL,Those mud puddles were certainly a waste of money.
ROSE,You're wrong. They're fascinating. Like in a dream... there's truth without
ROSE,logic. What's his name again... ?
ROSE,Picasso.
CAL,"He'll never amount to a thing, trust me. At least they were cheap."
CAL,A porter wheels Cal's private safe (which we recognize) into the room on a
CAL,handtruck.
CAL,Put that in the wardrobe.
CAL,47 IN THE BEDROOM Rose enters with the large Degas of the dancers. She sets
CAL,"it on the dresser, near the canopy bed. Trudy is already in there, hanging"
CAL,up some of Rose's clothes.
TRUDY,It smells so brand new. Like they built it all just for us. I mean... just
TRUDY,"to think that tonight, when I crawl between the sheets, Iill be the first--"
TRUDY,Cal appears in the doorway of the bedroom.
CAL,"And when I crawl between the sheets tonight, I'll still be the first."
TRUDY,"S'cuse me, Miss."
TRUDY,She edges around Cal and makes a quick exit. Cal comes up behind Rose and
TRUDY,"puts his hands on her shoulders. An act of possession, not intimacy."
CAL,The first and only. Forever.
CAL,"Rose's expression shows how bleak a prospect this is for her, now."
CAL,Titanic stands silhouetted against a purple post-sunset sky. She is lit up
CAL,"like a floating palace, and her thousand portholes reflect in the calm"
CAL,"harbor waters. The 150 foot tender Nomadic lies-to alongside, looking like"
CAL,a rowboat. The lights of a Cherbourg harbor complete the postcard image.
CAL,Entering the first class reception room from the tender are a number of
CAL,prominent passengers. A BROAD-SHOULDERED WOMAN in an enormous feathered hat
CAL,"comes up the gangway, carrying a suitcase in each hand, a spindly porter"
CAL,running to catch up with her to take the bags.
WOMAN,"Well, I wasn't about to wait all day for you, sonny. Take 'em the rest of"
WOMAN,the way if you think you can manage.
OLD ROSE (V.O.),"At Cherbourg a woman came aboard named Margaret Brown, but we all called"
OLD ROSE (V.O.),her Molly. History would call her the Unsinkable Molly Brown. Her husband
OLD ROSE (V.O.),"had struck gold someplace out west, and she was what mother called ""new"
OLD ROSE (V.O.),"money""."
OLD ROSE (V.O.),"At 45, MOLLY BROWN is a tough talking straightshooter who dresses in the"
OLD ROSE (V.O.),finery of her genteel peers but will never be one of them.
OLD ROSE (V.O.),By the next afternoon we had made our final stop and we were steaming west
OLD ROSE (V.O.),"from the coast of Ireland, with nothing out ahead of us but ocean..."
OLD ROSE (V.O.),The ship glows with the warm creamy light of late afternoon. Jack and
OLD ROSE (V.O.),Fabrizio stand right at the bow gripping the curving railing so familiar
OLD ROSE (V.O.),"from images of the wreck. Jack leans over, looking down fifty feet to where"
OLD ROSE (V.O.),"the prow cuts the surface like a knife, sending up two glassy sheets of"
OLD ROSE (V.O.),water.
OLD ROSE (V.O.),"ON THE BRIDGE, CAPTAIN SMITH turns from the binnacle to FIRST OFFICER"
CAPTAIN SMITH,Take her to sea Mister Murdoch. Let's stretch her legs.
CAPTAIN SMITH,Murdoch moves the engine telegraph lever to ALL AHEAD FULL.
CAPTAIN SMITH,53 NOW BEGINS a kind of musical/visual setpiece... an ode to the great
CAPTAIN SMITH,"ship. The music is rhythmic, surging forward, with a soaring melody that"
CAPTAIN SMITH,addresses the majesty and optimism of the ship of dreams.
CAPTAIN SMITH,"IN THE ENGINE ROOM the telegraph clangs and moves to ""All Ahead Full""."
CHIEF ENGINEER BELL,All ahead full!
CHIEF ENGINEER BELL,"On the catwalk THOMAS ANDREWS, the shipbuilder, watches carefully as the"
CHIEF ENGINEER BELL,engineers and greasers scramble to adjust valves. Towering above them are
CHIEF ENGINEER BELL,"the twin RECIPROCATING engines, four stories tall, their ten-foot-long"
CHIEF ENGINEER BELL,connecting rods surging up and down with the turning of the massive
CHIEF ENGINEER BELL,crankshafts. The engines thunder like the footfalls of marching giants.
CHIEF ENGINEER BELL,54 IN THE BOILER ROOMS the STOKERS chant a song as they hurl coal into the
CHIEF ENGINEER BELL,"roaring furnaces. The ""black gang"" are covered with sweat and coal dust,"
CHIEF ENGINEER BELL,their muscles working like part of the machinery as they toil in the
CHIEF ENGINEER BELL,hellish glow.
CHIEF ENGINEER BELL,"55 UNDERWATER the enormous bronze screws chop through the water, hurling"
CHIEF ENGINEER BELL,the steamer forward and churning up a vortex of foam that lingers for miles
CHIEF ENGINEER BELL,behind the juggernaut ship. Smoke pours from the funnels as--
CHIEF ENGINEER BELL,56 The riven water flares higher at the bow as the ship's speeds builds.
CHIEF ENGINEER BELL,"THE CAMERA SWEEPS UP the prow to find Jack, the wind streaming through his"
CHIEF ENGINEER BELL,hair and--
CHIEF ENGINEER BELL,57 Captain Smith steps out of the enclosed bridge onto the wing. He stands
CHIEF ENGINEER BELL,"with his hands on the rail, looking every bit the storybook picture of a"
CHIEF ENGINEER BELL,Captain... a great patriarch of the sea.
FIRST OFFICER MURDOCH,"Twenty one knots, sir!"
SMITH,"She's got a bone in her teeth now, eh, Mr. Murdoch."
SMITH,Smith accepts a cup of tea from FIFTH OFFICER LOWE. He contentedly watches
SMITH,the white V of water hurled outward from the bows like an expression of his
SMITH,"own personal power. They are invulnerable, towering over the sea."
SMITH,"58 AT THE BOW Jack and Fabrizio lean far over, looking down."
SMITH,"In the glassy bow-wave two dolphins appear, under the water, running fast"
SMITH,just in front of the steel blade of the prow. They do it for the sheer joy
SMITH,"and exultation of motion. Jack watches the dolphins and grins. They breach,"
SMITH,"jumping clear of the water and then dive back, crisscrossing in front of"
SMITH,"the bow, dancing ahead of the juggernaut."
SMITH,"FABRIZIO looks forward across the Atlantic, staring into the sunsparkles."
FABRIZIO,I can see the Statue of Liberty already.
FABRIZIO,Very small... of course.
FABRIZIO,"THE CAMERA ARCS around them, until they are framed against the sea."
FABRIZIO,"NOW WE PULL BACK, across the forecastle deck. Rising, as we continue back,"
FABRIZIO,"and the ships rolls endlessly forward underneath. Over the bridge wing,"
FABRIZIO,along the boat deck until her funnels come INTO FRAME besides us and march
FABRIZIO,"past like the pillars of heaven, one by one. We pull back and up, until we"
FABRIZIO,"are looking down the funnels, and the people strolling on the decks and"
FABRIZIO,standing at the rail become antlike.
FABRIZIO,And still we pull back until the great lady is seen whole in a gorgeous
FABRIZIO,"aerial portrait, black and severe in her majesty."
ISMAY (V.O.),She is the largest moving object ever made by the hand of man in all
ISMAY (V.O.),history...
ISMAY (V.O.),"CLOSE ON J. BRUCE ISMAY, Managing Director of White Star Line."
ISMAY,"...and our master shipbuilder, Mr. Andrews here, designed her from the keel"
ISMAY,plates up.
ISMAY,"He indicates a handsome 39 year old Irish gentlemen to his right, THOMAS"
ISMAY,"ANDREWS, of Harland and Wolf Shipbuilders."
ISMAY,"WIDER, showing the group assembled for lunch the next day. Ismay seated"
ISMAY,"with Cal, Rose, Ruth, Molly Brown and Thomas Andrews in the Palm Court, a"
ISMAY,beautiful sunny spot enclosed by high arched windows.
ANDREWS,"Well, I may have knocked her together, but the idea was Mr. Ismay's. He"
ANDREWS,"envisioned a steamer so grand in scale, and so luxurious in its"
ANDREWS,"appointments, that its supremacy would never be challenged. And here she"
ANDREWS,...willed into solid reality.
MOLLY,"Why're ships always bein' called ""she""? Is it because men think half the"
MOLLY,women around have big sterns and should be weighed in tonnage?
MOLLY,Just another example of the men settin' the rules their way.
MOLLY,The waiter arrives to take orders. Rose lights a cigarette.
RUTH,"You know I don't like that, Rose."
CAL,She knows.
CAL,Cal takes the cigarette from her and stubs it out.
CAL,"We'll both have the lamb. Rare, with a little mint sauce."
CAL,"You like lamb, don't you sweetpea?"
CAL,"Molly is watching the dynamic between Rose, Cal and Ruth."
MOLLY,"So, you gonna cut her meat for her too there, Cal?"
MOLLY,"Hey, who came up with the name Titanic? You, Bruce?"
ISMAY,"Yes, actually. I wanted to convey sheer size. And size means stability,"
ISMAY,luxury... and safety--
ROSE,Do you know of Dr. Freud? His ideas about the male preoccupation with size
ROSE,"might be of particular interest to you, Mr. Ismay."
ROSE,"Andrews chockes on his breadstick, suppressing laughter."
RUTH,"My God, Rose, what's gotten into--"
ROSE,Excuse me.
ROSE,She stalks away.
RUTH,I do apologize.
MOLLY,"She's a pistol, Cal. You sure you can handle her?"
CAL,"Well, I may have to start minding what she reads from now on."
CAL,Jack sits on a bench in the sun. Titanic's wake spreads out behind him to
CAL,"the horizon. He has his knees pulled up, supporting a leather bound"
CAL,"sketching pad, his only valuable possession. With conte crayon he draws"
CAL,"rapidly, using sure strokes. An emigrant from Manchester named CARTMELL has"
CAL,his 3 year old daughter CORA standing on the lower rung of the rail. She is
CAL,"leaned back against his beer barrel of a stomach, watching the seagulls."
CAL,"THE SKETCH captures them perfectly, with a great sense of the humanity of"
CAL,the moment. Jack is good. Really good. Fabrizio looks over Jack's shoulder.
CAL,He nods appreciatively.
CAL,"TOMMY RYAN, a scowling young Irish emigrant, watches as a crewmember comes"
CAL,"by, walking three small dogs around the deck. One of them, a BLACK FRENCH"
CAL,"BULLDOG, is among the ugliest creatures on the planet."
TOMMY,That's typical. First class dogs come down here to take a shit.
TOMMY,Jack looks up from his sketch.
JACK,That's so we know where we rank in the scheme of things.
TOMMY,Like we could forget.
TOMMY,Jack glances across the well deck. At the aft railing of B deck promenade
TOMMY,"stands ROSE, in a long yellow dress and white gloves."
TOMMY,"CLOSE ON JACK, unable to take his eyes off of her. They are across from"
TOMMY,"each other, about 60 feet apart, with the well deck like a valley between"
TOMMY,"them. She on her promontory, he on his much lower one. She stares down at"
TOMMY,the water.
TOMMY,He watches her unpin her elaborate hat and take it off. She looks at the
TOMMY,"frilly absurd thing, then tosses it over the rail. It sails far down to the"
TOMMY,"water and is carried away, astern. A spot of yellow in the vast ocean. He"
TOMMY,"is riveted by her. She looks like a figure in a romantic novel, sad and"
TOMMY,isolated.
TOMMY,Fabrizio taps Tommy and they both look at Jack gazin at Rose. Fabrizio and
TOMMY,Tommy grin at each other.
TOMMY,"Rose turns suddenly and looks right at Jack. He is caught staring, but he"
TOMMY,"doesn't look away. She does, but then looks back. Their eyes meet across"
TOMMY,"the space of the well deck, across the gulf between worlds."
TOMMY,Jack sees a man (Cal) come up behind her and take her arm. She jerks her
TOMMY,"arm away. They argue in pantomime. She storms away, and he goes after her,"
TOMMY,disappearing along the A-deck promenade. Jack stares after her.
TOMMY,"Forget it, boyo. You'd as like have angels fly out o' yer arse as get next"
TOMMY,to the likes o' her.
TOMMY,"SLOWLY PUSHING IN ON ROSE as she sits, flanked by people in heated"
TOMMY,"conversation. Cal and Ruth are laughing together, while on the other side"
TOMMY,LADY DUFF-GORDON is holding forth animatedly. We don't hear what they are
TOMMY,"saying. Rose is staring at her plate, barely listening to the"
TOMMY,inconsequential babble around her.
OLD ROSE (V.O.),I saw my whole life as if I'd already lived it... an endless parade of
OLD ROSE (V.O.),"parties and cotillions, yachts and polo matches... always the same narrow"
OLD ROSE (V.O.),"people, the same mindless chatter. I felt like I was standing at a great"
OLD ROSE (V.O.),"precipice, with no one to pull me back, no one who cared... or even"
OLD ROSE (V.O.),noticed.
OLD ROSE (V.O.),"ANGLE BENEATH TABLE showing Rose's hand, holding a tiny fork from her crab"
OLD ROSE (V.O.),"salad. She pokes the crab-fork into the skin of her arm, harder and harder"
OLD ROSE (V.O.),until it draws blood.
OLD ROSE (V.O.),"Rose walks along the corridor. A steward coming the other way greets her,"
OLD ROSE (V.O.),and she nods with a slight smile. She is perfectly composed.
OLD ROSE (V.O.),"She enters the room. Stands in the middle, staring at her reflection in the"
OLD ROSE (V.O.),"large vanity mirror. Just stands there, then--"
OLD ROSE (V.O.),"With a primal, anguished cry she claws at her throat, ripping off her pearl"
OLD ROSE (V.O.),"necklace, which explodes across the room. In a frenzy she tears at herself,"
OLD ROSE (V.O.),"her clothes, her hair... then attacks the room. She flings everything off"
OLD ROSE (V.O.),the dresser and it flies clattering against the wall. She hurls a
OLD ROSE (V.O.),"handmirror against the vanity, cracking it."
OLD ROSE (V.O.),"Rose runs along the B deck promenade. She is dishevelled, her hair flying."
OLD ROSE (V.O.),"She is crying, her cheeks streaked with tears. But also angry, furious!"
OLD ROSE (V.O.),"Shaking with emotions she doesn't understand... hatred, self-hatred,"
OLD ROSE (V.O.),desperation. A strolling couple watch her pass. Shocked at the emotional
OLD ROSE (V.O.),display in public.
OLD ROSE (V.O.),Jack is kicked back on one of the benches gazing at the stars blazing
OLD ROSE (V.O.),gloriously overhead. Thinking artist thoughts and smoking a cigarette.
OLD ROSE (V.O.),"Hearing something, he turns as Rose runs up the stairs from the well deck."
OLD ROSE (V.O.),"They are the only two on the stern deck, except for QUARTERMASTER ROWE,"
OLD ROSE (V.O.),twenty feet above them on the docking bridge catwalk. She doesn't see Jack
OLD ROSE (V.O.),"in the shadows, and runs right past him."
OLD ROSE (V.O.),TRACKING WITH ROSE as she runs across the deserted fantail. Her breath
OLD ROSE (V.O.),"hitches in an occasional sob, which she suppresses. Rose slams against the"
OLD ROSE (V.O.),"base of the stern flagpole and clings there, panting. She stares out at the"
OLD ROSE (V.O.),black water.
OLD ROSE (V.O.),Then starts to climb over the railing. She has to hitch her long dress way
OLD ROSE (V.O.),"up, and climbing is clumsy. Moving methodically she turns her body and gets"
OLD ROSE (V.O.),"her heels on the white-painted gunwale, her back to the railing, facing out"
OLD ROSE (V.O.),"the atlantin into white foam, and a ghostly wake trails off toward the"
OLD ROSE (V.O.),horizon.
OLD ROSE (V.O.),"IN A LOW ANGLE, we see Rose standing like a figurehead in reverse. Below"
OLD ROSE (V.O.),"her are the huge letters of the name ""TITANIC""."
OLD ROSE (V.O.),"She leans out, her arms straightening... looking down hypnotized, into the"
OLD ROSE (V.O.),vortex below her. Her dress and hair are lifted by the wind of the ship's
OLD ROSE (V.O.),"movement. The only sound, above the rush of water below, is the flutter and"
OLD ROSE (V.O.),snap of the big Union Jack right above her.
JACK,Don't do it.
JACK,She whips her head around at the sound of his voice. It takes a second for
JACK,her eyes to focus.
ROSE,Stay back! Don't come any closer!
ROSE,Jack sees the tear tracks on her cheeks in the faint glow from the stern
ROSE,running lights.
JACK,Take my hand. I'll pull you back in.
ROSE,No! Stay where you are. I mean it. I'll let go.
JACK,No you won't.
ROSE,What do you mean no I won't? Don't presume to tell me what I will and will
ROSE,not do. You don't know me.
JACK,"You would have done it already. Now come on, take my hand."
JACK,"Rose is confused now. She can't see him very well through the tears, so she"
JACK,"wipes them with one hand, almost losing her balance."
ROSE,You're distracting me. Go away.
JACK,I can't. I'm involved now. If you let go I have to jump in after you.
ROSE,Don't be absurd. You'll be killed.
ROSE,He takes off his jacket.
JACK,I'm a good swimmer.
JACK,He starts unlacing his left shoe.
ROSE,The fall alone would kill you.
JACK,It would hurt. I'm not saying it wouldn't. To be honest I'm a lot more
JACK,concerned about the water being so cold.
JACK,She looks down. The reality factor of what she is doing is sinking in.
ROSE,How cold?
JACK,Freezing. Maybe a couple degrees over.
JACK,He starts unlacing his right shoe.
JACK,Ever been to Wisconsin?
JACK,"Well they have some of the coldest winters around, and I grew up there,"
JACK,near Chippewa Falls. Once when I was a kid me and my father were
JACK,ice-fishing out on Lake Wissota... ice-fishing's where you chop a hole in
ROSE,I know what ice fishing is!
JACK,"Sorry. Just... you look like kind of an indoor girl. Anyway, I went through"
JACK,"some thin ice and I'm tellin' ya, water that cold... like that right down"
JACK,there... it hits you like a thousand knives all over your body. You can't
JACK,"breath, you can't think... least not about anything but the pain."
JACK,Which is why I'm not looking forward to jumping in after you. But like I
JACK,"said, I don't see a choice. I guess I'm kinda hoping you'll come back over"
JACK,the rail and get me off the hook here.
ROSE,You're crazy.
JACK,"That's what everybody says. But with all due respect, I'm not the one"
JACK,hanging off the back of a ship.
JACK,"He slides one step closer, like moving up on a spooked horse."
JACK,Come on. You don't want to do this. Give me your hand.
JACK,Rose stares at this madman for a long time. She looks at his eyes and they
JACK,somehow suddenly seem to fill her universe.
ROSE,Alright.
ROSE,She unfastens one hand from the rail and reaches it around toward him. He
ROSE,"reaches out to take it, firmly."
JACK,I'm Jack Dawson.
ROSE,"Pleased to meet you, Mr. Dawson."
ROSE,"Rose starts to turn. Now that she has decided to live, the height is"
ROSE,"terrifying. She is overcome by vertigo as she shifts her footing, turning"
ROSE,"to face the ship. As she starts to climb, her dress gets in the way, and"
ROSE,one foot slips off the edge of the deck.
ROSE,"She plunges, letting out a piercing SHRIEK. Jack, gripping her hand, is"
ROSE,jerked toward the rail. Rose barely grabs a lower rail with her free hand.
ROSE,"QUARTERMASTER ROWE, up on the docking bridge hears the scream and heads for"
ROSE,the ladder.
JACK,I've got you. I won't let go.
JACK,"Jack holds her hand with all his strength, bracing himself on the railing"
JACK,with his other hand. Rose tries to get some kind of foothold on the smooth
JACK,hull. Jack tries to lift her bodily over the railing. She can't get any
JACK,"footing in her dress and evening shoes, and she slips back. Rose SCREAMS"
JACK,again.
JACK,"Jack, awkwardly clutching Rose by whatever he can get a grip on as she"
JACK,"flails, gets her over the railing. They fall together onto the deck in a"
JACK,"tangled heap, spinning in such a way that Jack winds up slightly on top of"
JACK,Rowe slides down the ladder from the docking bridge like it's a fire drill
JACK,and sprints across the fantail.
ROWE,"Here, what's all this?!"
ROWE,"Rowe runs up and pulls Jack off of Rose, revealing her dishevelled and"
ROWE,"sobbing on the deck. Her dress is torn, and the hem is pushing up above her"
ROWE,"knees, showing one ripped stocking. He looks at Jack, the shaggy steerage"
ROWE,"man with his jacket off, and the first class lady clearly in distress, and"
ROWE,starts drawing conclusions. Two seamen chug across the deck to join them.
ROWE,"Here you, stand back! Don't move an inch!"
ROWE,Fetch the Master at Arms.
ROWE,"A few minutes later. Jack is being detained by the burly MASTER AT ARMS,"
ROWE,the closest thing to a cop on board. He is handcuffing Jack. Cal is right
ROWE,"in front of Jack, and furious. He has obviously just rushed out here with"
ROWE,"Lovejoy and another man, and none of them have coats over their black tie"
ROWE,"evening dress. The other man is COLONEL ARCHIBALD GRACIE, a mustachioed"
ROWE,"blowhard who still has his brandy snifter. He offers it to Rose, who is"
ROWE,"hunched over crying on a bench nearby, but she waves it away. Cal is more"
ROWE,concerned with Jack. He grabs him by the lapels.
CAL,"What made you think you could put your hands on my fiancee?! Look at me,"
CAL,you filth! What did you think you were doing?!
ROSE,"Cal, stop! It was an accident."
CAL,An accident?!
ROSE,It was... stupid really. I was leaning over and I slipped.
ROSE,"Rose looks at Jack, getting eye contact."
ROSE,"I was leaning way over, to see the... ah... propellers. And I slipped and I"
ROSE,would have gone overboard... and Mr. Dawson here saved me and he almost
ROSE,went over himself.
CAL,You wanted to see the propellers?
GRACIE,Women and machinery do not mix.
MASTER AT ARMS,Was that the way of it?
MASTER AT ARMS,Rose is begging him with her eyes not to say what really happened.
JACK,Uh huh. That was pretty much it.
JACK,He looks at Rose a moment longer. Now they have a secret together.
COLONEL GRACIE,"Well! The boy's a hero then. Good for you son, well done!"
COLONEL GRACIE,"So it's all's well and back to our brandy, eh?"
COLONEL GRACIE,Jack is uncuffed. Cal gets Rose to her feet and moving.
CAL,Let's get you in. You're freezing.
CAL,Cal is leaving without a second thought for Jack.
GRACIE,Ah... perhaps a little something for the boy?
CAL,"Oh, right. Mr. Lovejoy. A twenty should do it."
ROSE,Is that the going rate for saving the woman you love?
CAL,Rose is displeased. Mmm... what to do?
CAL,Cal turns back to Jack. He appraises him condescendingly... a steerage
CAL,"ruffian, unwashed and ill-mannered."
CAL,I know.
CAL,"Perhaps you could join us for dinner tomorrow, to regale our group with"
CAL,your heroic tale?
JACK,Sure. Count me in.
CAL,Good. Settled then.
CAL,"Cal turns to go, putting a protective arm around Rose. he leans close to"
CAL,Gracie as they walk away.
CAL,This should be amusing.
JACK,Can I bum a cigarette?
JACK,Lovejoy smoothly draws a silver cigarette case from his jacket and snaps it
